date,coin,price,volume,market_cap
2025-03-30T00:00:00Z,ETHEREUM,1829.2745211803463,12924117064.878807,220262156018.88525
2025-03-31T00:00:00Z,ETHEREUM,1805.3378779435934,10056531345.160347,217784813538.97607
2025-04-01T00:00:00Z,ETHEREUM,1824.2071367609847,17022367813.88877,219908040559.44638
2025-04-02T00:00:00Z,ETHEREUM,1907.1671522994227,15899367803.5509,230031614721.63394
2025-04-03T00:00:00Z,ETHEREUM,1795.761850567479,23450470660.978283,216667567217.00522
2025-04-04T00:00:00Z,ETHEREUM,1818.2844199542053,16999031833.158594,219762279056.2319
2025-04-05T00:00:00Z,ETHEREUM,1814.4807753449506,19459233591.298603,218925876283.93597
2025-04-06T00:00:00Z,ETHEREUM,1809.935827172196,6780827627.545529,217957146409.9286
2025-04-07T00:00:00Z,ETHEREUM,1574.6321611455576,23485484227.161697,190295586491.21872
2025-04-08T00:00:00Z,ETHEREUM,1555.909812570873,49416724296.56089,188565143892.71408
2025-04-09T00:00:00Z,ETHEREUM,1471.3608854365523,22451028357.384758,177496121145.5316
2025-04-10T00:00:00Z,ETHEREUM,1662.5331604641576,41589589714.84994,200623016236.85327
2025-04-11T00:00:00Z,ETHEREUM,1523.928624242526,20486375929.10568,183947227079.42554
2025-04-12T00:00:00Z,ETHEREUM,1568.131690125936,14195085224.783228,189185664203.6754
2025-04-13T00:00:00Z,ETHEREUM,1645.8625733156498,11756571644.476357,198696438258.60336
2025-04-14T00:00:00Z,ETHEREUM,1595.4227460001084,13775001676.60885,192382635779.77805
2025-04-15T00:00:00Z,ETHEREUM,1621.543195596693,15415724739.820591,195686083638.74744
2025-04-16T00:00:00Z,ETHEREUM,1587.8222244021401,11786525215.180002,191837036865.40186
2025-04-17T00:00:00Z,ETHEREUM,1577.7073516760117,13120084885.866234,190419833063.11868
2025-04-18T00:00:00Z,ETHEREUM,1583.4764497002345,9437178720.867388,191135638825.23685
2025-04-19T00:00:00Z,ETHEREUM,1589.1516208270755,5254078676.877919,191865697060.91525
